issue,priority
Product quality issues,medium
Shipping delays,high
Incorrect product delivered,medium
Damaged packaging,low
Damaged product,high
product not received,medium
Missing accessories,medium
Difficulty in returns,high
Poor customer support,high
Payment processing problems,high
Website navigation issues,low
Out-of-stock items after purchase,medium
Non-transparent pricing,low
Limited payment options,low
Inaccurate product descriptions,medium
Unreliable product reviews,low
Unresponsive customer service,high
Privacy and security concerns,high
Complex checkout process,low
Limited order tracking information,medium
Late shipment notifications,medium
Inconsistent product availability,medium
Confusing return policies,medium
Limited product variety,low
Hidden fees,medium
Lack of order confirmations,low
Inadequate packaging protection,medium
Issues with gift wrapping,low
Unsatisfactory product recommendations,low
Cross-selling annoyances,low
Limited customization options,low
Difficulty canceling orders,medium
Poorly designed mobile app,low
Limited account management features,low
Difficulty contacting customer service,medium
Incorrect shipping addresses,medium
Unreliable delivery partners,medium
Unwanted promotional emails,medium
Undisclosed restocking fees,medium
Limited loyalty program benefits,low
Incorrect inventory information,medium
Difficulty accessing order history,low
Inadequate order cancellation options,medium
Limited payment security measures,medium
Unexpected product substitutions,medium
Unexplained order cancellations,medium
Limited order modification options,medium
Hidden shipping costs,medium
Limited order status updates,medium
Inadequate packaging disposal options,medium
Difficulty reaching customer service,medium
Lack of alternative payment methods,low
Limited customer feedback options,low
Limited customer survey participation,low
Limited warranty information,medium
Unclear refund policies,medium
Unsatisfactory post-purchase communication,medium
Incorrect product dimensions,medium
Unreliable product availability status,medium
Inconsistent product pricing,low
Limited quantity purchase restrictions,low
Difficulty navigating product pages,low
Inadequate product filtering options,low
Limited user account security features,medium
Difficulty obtaining order invoices,low
Inadequate product customization options,low
Limited order consolidation options,low
Unreliable order delivery estimates,medium
Unexpected product discontinuations,medium
Difficulty obtaining order receipts,low
high price of product,low
Unclear order confirmation messages,low
Limited order cancellation windows,medium
Difficulty contacting returns department,medium
Limited international shipping options,medium
Difficulty accessing customer reviews,low
Inconsistent shipping speed options,medium
Limited product availability notifications,medium
Unreliable product restocking timelines,medium
Difficulty accessing warranty information,medium
Unclear product return eligibility,medium
Limited order modification flexibility,medium
Difficulty reaching technical support,medium
Unsatisfactory order packaging quality,medium
Inadequate product arrival notifications,medium
Limited order history export options,low
Unreliable product warranty support,medium
Difficulty accessing order tracking details,medium
Limited product warranty coverage,medium
Inconsistent product size information,medium
Unreliable product delivery timelines,medium
Difficulty accessing shipping information,medium
Limited product lifespan information,medium
Inadequate product expiration details,medium
Unsatisfactory product expiration policies,medium
Difficulty obtaining accurate product images,medium
Limited product warranty registration options,medium
Unclear product care instructions,medium
Unreliable product performance expectations,medium
Limited order change notification options,medium
Difficulty accessing order shipment details,medium
Unsatisfactory product assembly instructions,medium
Limited product recall notification options,medium
Incorrect order quantity,high
Limited flash sale availability,high
Unsatisfactory gift wrapping,high
Inadequate order consolidation options,high
Difficulty contacting returns department,high
Limited international shipping options,high
Difficulty accessing customer reviews,high
Inconsistent shipping speed options,high
Limited product availability notifications,high
Unreliable product restocking timelines,high
Difficulty accessing warranty information,high
Unclear product return eligibility,high
Limited order modification flexibility,high
Difficulty reaching technical support,high
Unsatisfactory order packaging quality,high
Inadequate product arrival notifications,high
Limited order history export options,high
Unreliable product warranty support,high
Difficulty accessing order tracking details,high
Limited product warranty coverage,high
Inconsistent product size information,high
Difficulty accessing shipping information,high
Limited product lifespan information,high
Inadequate product expiration details,high
Unsatisfactory product expiration policies,high
Difficulty obtaining accurate product images,high
Limited product warranty registration options,high
Unclear product care instructions,high
Unreliable product performance expectations,high
Limited order change notification options,high
Difficulty accessing order shipment details,high
Unsatisfactory product assembly instructions,high
Limited product recall notification options,high
Difficulty obtaining product demos,high
Limited product upgrade options,high
Unreliable product repair services,high
Difficulty obtaining user manuals,high
Limited product customization support,high
Inadequate product installation instructions,high
Unsatisfactory product compatibility information,high
Limited product troubleshooting resources,high
Unreliable product maintenance advice,high
Difficulty obtaining product certifications,high
Limited product refund policies,high
Unreliable product exchange processes,high
Difficulty accessing product training materials,high
Limited product version information,high
Inadequate product usage guidelines,high
Unsatisfactory product reliability,high